seed,n_clusters,points_per_cluster,dim,cluster_std,ari,nmi,sse,steps,converged,min_inter_token_dist,collapsed,n_tokens,n_steps,temperature,lr,momentum,repulsion,method
22,3,80,6,0.3,0.8686634135860875,0.9050058388891631,126.22770804611756,30,False,0.7851993841272441,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
23,3,80,6,0.3,0.8714114890144744,0.9062553169812129,123.52535002581686,30,False,1.041712056363221,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
24,3,80,6,0.3,0.8686634135860875,0.9050058388891631,123.97449287818023,30,False,0.9535260630456832,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
25,3,80,6,0.3,0.86909312366145,0.9052002896311647,134.44787576885227,30,False,1.0512023421801082,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
26,3,80,6,0.3,0.868405530011043,0.904889305927475,128.1626469841808,30,False,1.0972605991967033,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
27,3,80,6,0.3,0.8686634135860875,0.9050058388891631,124.23334335868145,30,False,0.3057040243344103,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
28,3,80,6,0.3,0.8683195592286501,0.9048504844691445,129.9435638935392,30,False,1.130620619436269,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
29,3,80,6,0.3,0.8683195592286501,0.9048504844691445,123.69607606639919,30,False,0.934657628393946,0.0,4,30,1.0,1.0,0.0,0.05,repulsion
0,3,80,6,0.3,0.8850786814234577,0.9126891740452042,211.791659559395,30,False,0.37836271422322904,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
1,3,80,6,0.3,0.8704673910238212,0.9058244684484411,119.33477576689204,30,False,0.4998003090479531,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
2,3,80,6,0.3,0.868405530011043,0.904889305927475,121.66136485555968,30,False,0.5914464167664575,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
3,3,80,6,0.3,0.8686634135860875,0.9050058388891631,123.8809716544215,30,False,0.4957833749726883,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
4,3,80,6,0.3,0.868405530011043,0.904889305927475,117.005131131865,30,False,0.49893907354235206,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
5,3,80,6,0.3,0.86969451649677,0.9054730036808499,119.09105066052591,30,False,0.5126814154685864,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
6,3,80,6,0.3,0.86909312366145,0.9052002896311647,112.89545793383924,30,False,0.5884553478828966,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
7,3,80,6,0.3,0.8686634135860875,0.9050058388891631,121.48792794466911,30,False,0.7254097530846115,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
8,3,80,6,0.3,0.8686634135860875,0.9050058388891631,124.5589373454257,29,True,0.5065554669193804,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
9,3,80,6,0.3,0.86909312366145,0.9052002896311648,135.8674135585513,30,False,1.0472787203295777,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
10,3,80,6,0.3,0.8686634135860875,0.9050058388891631,125.89770482508797,30,False,1.0988550571100006,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
11,3,80,6,0.3,0.8686634135860875,0.9050058388891631,124.89488135029461,30,False,0.5087300160265473,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
12,3,80,6,0.3,0.8686634135860875,0.9050058388891631,122.78824671663722,30,False,0.512974959856563,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
13,3,80,6,0.3,0.868405530011043,0.904889305927475,184.80450464818833,30,False,2.2478443086111595,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
14,3,80,6,0.3,0.868405530011043,0.904889305927475,140.54663937822613,30,False,0.5153047220835452,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
15,3,80,6,0.3,0.8704673910238212,0.9058244684484411,126.09503194791849,30,False,0.3499865082547714,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
16,3,80,6,0.3,0.868405530011043,0.904889305927475,124.20726656698247,24,True,0.5026141573356749,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
17,3,80,6,0.3,0.39794072301872685,0.6066229503910617,2531.013427641324,26,True,0.5745785837447692,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
18,3,80,6,0.3,0.8686634135860875,0.9050058388891631,134.42497649543338,30,False,0.6862666677112234,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
19,3,80,6,0.3,0.3970041243146977,0.606107745311544,3566.36385749468,30,False,0.5710601462768761,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
20,3,80,6,0.3,0.8683195592286501,0.9048504844691445,119.3743432287807,30,False,0.5133679319810386,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
21,3,80,6,0.3,0.8686634135860875,0.9050058388891631,139.224684151908,30,False,1.6017572773378768,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
22,3,80,6,0.3,0.8686634135860875,0.9050058388891631,125.804715145173,30,False,0.5427463734106309,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
23,3,80,6,0.3,0.868405530011043,0.904889305927475,121.43484020362563,30,False,0.5977618125544516,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
